日付,支店,カテゴリ,商品コード,商品名,数量,単価,金額
2026/05/09,東京本店,キッチン雑貨,KT-001,木製カッティングボード,10,1480,14800
2026/05/09,東京本店,キッチン雑貨,KT-002,ホーロー保存容器 3点セット,7,1980,13860
2026/05/09,東京本店,キッチン雑貨,KT-003,シリコン調理スプーン,13,520,6760
2026/05/09,東京本店,キッチン雑貨,KT-004,リネンキッチンクロス 2枚組,12,780,9360
2026/05/09,東京本店,ステーショナリー,ST-002,活版印刷メモパッド,35,420,14700
2026/05/09,東京本店,インテリア小物,IN-002,ガラスフラワーベース,5,1650,8250
2026/05/09,東京本店,バス・サニタリー,BS-003,バスソルト 3種セット,10,1380,13800
2026/05/09,東京本店,バス・サニタリー,BS-004,ヒノキの入浴剤 10包,12,920,11040
2026/05/09,東京本店,ラッピング用品,GF-002,サテンリボン 5色セット,16,540,8640
2026/05/09,大阪支店,キッチン雑貨,KT-004,リネンキッチンクロス 2枚組,13,780,10140
2026/05/09,大阪支店,ステーショナリー,ST-001,真鍮ボールペン,10,980,9800
2026/05/09,大阪支店,ステーショナリー,ST-002,活版印刷メモパッド,14,420,5880
2026/05/09,大阪支店,インテリア小物,IN-002,ガラスフラワーベース,5,1650,8250
2026/05/09,大阪支店,バス・サニタリー,BS-001,オーガニックコットンタオル,13,1180,15340
2026/05/09,大阪支店,ラッピング用品,GF-002,サテンリボン 5色セット,8,540,4320
2026/05/09,大阪支店,ラッピング用品,GF-003,ギフトボックス 小 5個組,14,880,12320
2026/05/09,名古屋支店,キッチン雑貨,KT-002,ホーロー保存容器 3点セット,6,1980,11880
2026/05/09,名古屋支店,インテリア小物,IN-003,ラタン小物かご,4,950,3800
2026/05/09,名古屋支店,バス・サニタリー,BS-003,バスソルト 3種セット,6,1380,8280
2026/05/09,名古屋支店,ラッピング用品,GF-001,クラフト紙ギフトバッグ 10枚,25,650,16250
2026/05/09,名古屋支店,ラッピング用品,GF-002,サテンリボン 5色セット,15,540,8100
2026/05/09,名古屋支店,ラッピング用品,GF-004,和紙包装紙 20枚入,4,1150,4600
2026/05/09,福岡支店,バス・サニタリー,BS-001,オーガニックコットンタオル,7,1180,8260
2026/05/09,福岡支店,バス・サニタリー,BS-002,陶器のソープディッシュ,4,640,2560
2026/05/09,福岡支店,ラッピング用品,GF-001,クラフト紙ギフトバッグ 10枚,20,650,13000
2026/05/09,福岡支店,ラッピング用品,GF-004,和紙包装紙 20枚入,5,1150,5750
2026/05/09,札幌支店,ステーショナリー,ST-003,リネン表紙ノート A5,17,680,11560
2026/05/09,札幌支店,インテリア小物,IN-001,アロマキャンドル,5,880,4400
2026/05/09,札幌支店,インテリア小物,IN-003,ラタン小物かご,6,950,5700
2026/05/09,札幌支店,ガーデン雑貨,GD-003,ガーデンピック 3本組,8,480,3840
2026/05/09,札幌支店,ラッピング用品,GF-001,クラフト紙ギフトバッグ 10枚,8,650,5200
2026/05/09,仙台支店,ステーショナリー,ST-004,マスキングテープ 12色セット,3,1250,3750
2026/05/09,仙台支店,インテリア小物,IN-004,陶器の一輪挿し,4,720,2880
2026/05/09,仙台支店,バス・サニタリー,BS-001,オーガニックコットンタオル,6,1180,7080
